Source,Target,Weight
"Sannin, Orochimaru","Suffering, Itachi-Uchiha",20
"Curse-Mark,Jugo",Rinnegan-Madara,15
Sai'emptiness,"Sharingan,Sasuke",10
"Senju, TobiRama","Lover Rin-Nohara",15
"Lady Angel, Konnan","Fatso Chozi",15
Style-Crystal/Guren,"Sharingan,Sasuke",20
"5-Hearts,Kakuzu",Royal/child/Boruto,15
"Captain Yamato","Senju, TobiRama",10
"Villan Kaguya",Kushina,15
"The child of prophecy,Naruto","Lover Rin-Nohara",10
"Senju, TobiRama",Sarutobi/Asuma,20
"5-Hearts,Kakuzu","Curse-Mark,Jirobo",5
"Villan Kaguya","Kurenai Yuhi",10
Sarutobi/Asuma,"Curse-Mark,Jirobo",15
"Curse-Mark,Jirobo",Style-Shark/Kisame,15
Royal/child/Boruto,"Zetsu Black",15
"Lord Pain, Nagato(GOD)","Lady Angel, Konnan",10
"Gaara, of the desert","Leaf,Danzo",10
"Curse-Mark,Jugo","Lady Angel, Konnan",10
"Kakashi ,6th Hokage","Lover Rin-Nohara",20
"Hyuga,Hanabi","Lover Rin-Nohara",20
Royal/child/Boruto,Sarutobi/Konohamru,15
"Curse-Mark,Anko","Curse-Mark,Jirobo",15
Sarutobi/Konohamru,Rinnegan-Madara,15
Rinnegan-Madara,"The child of prophecy,Naruto",10
Style-Puppet/Kankuro,"Curse-Mark,Anko",5
"Love, Senju HashiRama","Killer Bee,8-Tails",20
Style-Crystal/Guren,"Killer Bee,8-Tails",15
"The child of prophecy,Naruto","5-Hearts,Kakuzu",10
"Shukhiyome/The divine tree","Kurenai Yuhi",15
Aburame/Shino,Royal/child/Boruto,10
Tenten,"The child of prophecy,Naruto",15
"Slug Princess/Tsunade","Sharingan,Sasuke",15
"Kakashi ,6th Hokage","Curse-Mark,Jirobo",10
Sai'emptiness,"Curse-Mark,Sakon/Ukon",5
"Father of all Shinobi,The Sage of,6,Paths","Curse-Mark,Sakon/Ukon",20
"Love, Senju HashiRama",Style-Shark/Kisame,10
"Obito Uchiha,Hokage","Lady Angel, Konnan",15
"Slug Princess/Tsunade","ToadSage/ Master Jiraya",10
"Kakashi ,6th Hokage","Sharingan,Sasuke",5
"Healer Shizune","Father of all Shinobi,The Sage of,6,Paths",15
"Lady Angel, Konnan","5-Hearts,Kakuzu",15
"Sharingan,Sasuke","5-Hearts,Kakuzu",5
"Kurenai Yuhi","Leaf,Danzo",10
"Fatso Chozi","Lord Pain, Nagato(GOD)",20
"Curse-Mark,Kimmimaro","Lady Angel, Konnan",5
"Healer Karin","Leaf,Danzo",20
"Captain Yamato","Pretty, INO",20
"Leaf,Danzo","Lady Angel, Konnan",15
"Zetsu Black","Father of all Shinobi,The Sage of,6,Paths",10
Style-Shark/Kisame,"5-Hearts,Kakuzu",10
"Senju, TobiRama","Obito Uchiha,Hokage",5
Style-Puppet/Kankuro,Aburame/Shino,10
Sasori,Style-Shark/Kisame,15
"ToadSage/ Master Jiraya","Curse-Mark,Kimmimaro",20
Sarutobi/Konohamru,Sarutobi/Asuma,5
"Curse-Mark,Kimmimaro","5-Hearts,Kakuzu",15
"Leaf,Danzo","Curse-Mark,Sakon/Ukon",20
Sarutobi/Konohamru,"Curse-Mark,Kidomaru",15
Style-Crystal/Guren,"Gaara, of the desert",20
"Kurenai Yuhi","Gaara, of the desert",10
"Who-I-am,Kabuto","Lord Pain, Nagato(GOD)",15
"Slug Princess/Tsunade","Zetsu Black",5
"Lady Angel, Konnan","Zetsu Black",5
"Shikamaru Nara,IQ","Haku,Land-of-water",5
"Curse-Mark,Jugo",Sai'emptiness,15
"Pretty, INO","Suffering, Itachi-Uchiha",15
"Kurenai Yuhi","Shikamaru Nara,IQ",15
Sai'emptiness,"Curse-Mark,Jirobo",5
Style-Puppet/Kankuro,"Villan Kaguya",20
"Kurenai Yuhi","Curse-Mark,Kimmimaro",5
"Curse-Mark,Sakon/Ukon","Obito Uchiha,Hokage",20
"Lady Angel, Konnan","Yukimaru,Tails-,3",20
"Leaf,Danzo","Sharingan,Sasuke",15
"Father of all Shinobi,The Sage of,6,Paths","Captain Yamato",20
"Curse-Mark,Jugo",Style-Crystal/Guren,10
"Gaara, of the desert","Suffering, Itachi-Uchiha",5
"Curse-Mark,Anko",Royal/child/Boruto,20
"Hyuga,Hanabi","Suffering, Itachi-Uchiha",5
"Leaf,Danzo",Royal/child/Boruto,5
"Yukimaru,Tails-,3","Captain Yamato",15
Kushina,"Haku,Land-of-water",5
"Sannin, Orochimaru",Royal/child/Boruto,10
"Healer Shizune","Villan Kaguya",15
"Curse-Mark,Kidomaru","Lover, Hinata",10
"Sharingan,Sasuke",Rinnegan-Madara,20
"Father of all Shinobi,The Sage of,6,Paths","Hyuga,Hanabi",20
"Leaf,Danzo",Sai'emptiness,10
"Healer Karin","Lover Rin-Nohara",5
"Curse-Mark,Anko",Aburame/Shino,5
"Sharingan,Sasuke","Shikamaru Nara,IQ",20
Sai'emptiness,"Curse-Mark,Anko",15
"Killer Bee,8-Tails",Kushina,20
"Slug Princess/Tsunade",Style-Shark/Kisame,20
"ToadSage/ Master Jiraya","5-Hearts,Kakuzu",15
"Suffering, Itachi-Uchiha",Royal/child/Boruto,10
"Healer Shizune","Curse-Mark,Jugo",20
"Shukhiyome/The divine tree","Yukimaru,Tails-,3",15
"Lady Angel, Konnan","Healer Karin",20
"Yukimaru,Tails-,3",Aburame/Shino,15
"Who-I-am,Kabuto",Rinnegan-Madara,20
"Obito Uchiha,Hokage","Father of all Shinobi,The Sage of,6,Paths",15
"Gaara, of the desert","Curse-Mark,Kimmimaro",15
Tenten,Style-Shark/Kisame,15
Royal/child/Boruto,"Lord Pain, Nagato(GOD)",20
Style-Puppet/Kankuro,"ToadSage/ Master Jiraya",10
"Curse-Mark,Jirobo",Kushina,10
"Sharingan,Sasuke",Sasori,10
"Obito Uchiha,Hokage","Pretty, INO",10
"Curse-Mark,Kimmimaro","Shukhiyome/The divine tree",5
Tenten,Sarutobi/Asuma,15
"ToadSage/ Master Jiraya",Rinnegan-Madara,15
"Curse-Mark,Kidomaru","Senju, TobiRama",10
"Yukimaru,Tails-,3","Father of all Shinobi,The Sage of,6,Paths",20
"Sharingan,Sasuke",Style-Puppet/Kankuro,5
"Lover Rin-Nohara","Yukimaru,Tails-,3",15
"Lover Rin-Nohara","Obito Uchiha,Hokage",5
"Curse-Mark,Kimmimaro","Curse-Mark,Anko",20
Sai'emptiness,Sarutobi/Konohamru,5
Rinnegan-Madara,"Curse-Mark,Kimmimaro",15
"Leaf,Danzo",Sasori,20
"Sannin, Orochimaru","The child of prophecy,Naruto",15
"Captain Yamato","Healer Karin",10
"Who-I-am,Kabuto","Sharingan,Sasuke",15
"Sharingan,Sasuke","Zetsu Black",15
"Lover, Hinata","Father of all Shinobi,The Sage of,6,Paths",20
"Zetsu Black",Tenten,5
Kushina,Style-Crystal/Guren,10
"Shikamaru Nara,IQ","Father of all Shinobi,The Sage of,6,Paths",10
"Lover, Hinata","Suffering, Itachi-Uchiha",20
"Sharingan,Sasuke","Curse-Mark,Kidomaru",5
"ToadSage/ Master Jiraya","Sannin, Orochimaru",20
"Lover, Hinata","Who-I-am,Kabuto",15
"Healer Karin","Hyuga,Hanabi",5
"Curse-Mark,Kimmimaro","Pretty, INO",20
Sarutobi/Asuma,"Yukimaru,Tails-,3",5
"Kakashi ,6th Hokage",Aburame/Shino,15
Sarutobi/Asuma,Style-Shark/Kisame,15
"Curse-Mark,Jugo","Zetsu Black",10
"Curse-Mark,Anko","ToadSage/ Master Jiraya",5
"Curse-Mark,Jirobo",Style-Puppet/Kankuro,15
Sasori,"Kakashi ,6th Hokage",10
"Healer Karin","Sannin, Orochimaru",10
"Lord Pain, Nagato(GOD)",Sai'emptiness,20
Aburame/Shino,"Curse-Mark,Jugo",15
"Who-I-am,Kabuto",Aburame/Shino,10
"Slug Princess/Tsunade","Hyuga,Hanabi",15
"Father of all Shinobi,The Sage of,6,Paths","Lord Pain, Nagato(GOD)",15
Sarutobi/Konohamru,Tenten,5
Style-Crystal/Guren,"5-Hearts,Kakuzu",5
Rinnegan-Madara,"Suffering, Itachi-Uchiha",5
"Lover, Hinata",Sarutobi/Konohamru,15
Rinnegan-Madara,"Curse-Mark,Kidomaru",20
"Curse-Mark,Jugo",Royal/child/Boruto,15
"Killer Bee,8-Tails",Sai'emptiness,15
"Hyuga,Hanabi",Aburame/Shino,15
"Curse-Mark,Jugo","Father of all Shinobi,The Sage of,6,Paths",5
"Lord Pain, Nagato(GOD)","Curse-Mark,Anko",10
"Suffering, Itachi-Uchiha","Kurenai Yuhi",10
Sarutobi/Konohamru,"Who-I-am,Kabuto",5
"Shikamaru Nara,IQ","Zetsu Black",15
Aburame/Shino,"Kurenai Yuhi",5
Style-Shark/Kisame,"Suffering, Itachi-Uchiha",20
"Slug Princess/Tsunade","Healer Karin",20
"Yukimaru,Tails-,3","Lord Pain, Nagato(GOD)",20
"Sharingan,Sasuke","Gaara, of the desert",5
"Father of all Shinobi,The Sage of,6,Paths",Rinnegan-Madara,10
"Sannin, Orochimaru","Fatso Chozi",20
"Lover Rin-Nohara",Style-Puppet/Kankuro,10
"Yukimaru,Tails-,3","ToadSage/ Master Jiraya",5
"Who-I-am,Kabuto","Curse-Mark,Anko",15
"Kurenai Yuhi","Love, Senju HashiRama",10
"ToadSage/ Master Jiraya","Healer Shizune",15
"Captain Yamato",Style-Shark/Kisame,10
"Curse-Mark,Sakon/Ukon","Love, Senju HashiRama",10
"Lover Rin-Nohara","Lady Angel, Konnan",10
"Shukhiyome/The divine tree",Rinnegan-Madara,15
"Killer Bee,8-Tails","Captain Yamato",10
"Leaf,Danzo",Kushina,10
"Sharingan,Sasuke",Aburame/Shino,10
"5-Hearts,Kakuzu",Sai'emptiness,10
Sasori,"Shukhiyome/The divine tree",20
"Yukimaru,Tails-,3",Style-Crystal/Guren,10
"Sannin, Orochimaru","Curse-Mark,Kidomaru",20
"Villan Kaguya","ToadSage/ Master Jiraya",15
"Captain Yamato",Sai'emptiness,10
Sai'emptiness,"Lady Angel, Konnan",20
"Obito Uchiha,Hokage","Fatso Chozi",5
"Villan Kaguya","Shukhiyome/The divine tree",10
"Curse-Mark,Kidomaru",Sarutobi/Asuma,20
"Kakashi ,6th Hokage","Curse-Mark,Sakon/Ukon",5
"Lover Rin-Nohara","Love, Senju HashiRama",5
"Shukhiyome/The divine tree","Captain Yamato",15
"Father of all Shinobi,The Sage of,6,Paths",Kushina,15
"Fatso Chozi",Aburame/Shino,15
Sarutobi/Asuma,"Sannin, Orochimaru",15
Sarutobi/Asuma,Style-Crystal/Guren,20
"Healer Karin","Senju, TobiRama",10
"Kurenai Yuhi","Fatso Chozi",15
Style-Shark/Kisame,"Killer Bee,8-Tails",15
"Who-I-am,Kabuto",Style-Crystal/Guren,10
"Lover Rin-Nohara","Villan Kaguya",20
"Lady Angel, Konnan","Senju, TobiRama",20
"Who-I-am,Kabuto",Sasori,15
"Curse-Mark,Jirobo","Curse-Mark,Kidomaru",5
"Kakashi ,6th Hokage","Captain Yamato",15
"Father of all Shinobi,The Sage of,6,Paths",Style-Puppet/Kankuro,15
"Zetsu Black","5-Hearts,Kakuzu",20
"Curse-Mark,Anko","Obito Uchiha,Hokage",5
"Pretty, INO","Haku,Land-of-water",20
"Kakashi ,6th Hokage","Pretty, INO",15
Style-Crystal/Guren,"Hyuga,Hanabi",5
"Gaara, of the desert","Haku,Land-of-water",5
"Senju, TobiRama","Zetsu Black",5
Sasori,"Captain Yamato",20
"Obito Uchiha,Hokage","Healer Shizune",20
Royal/child/Boruto,"Shikamaru Nara,IQ",10
"Curse-Mark,Kidomaru","Kakashi ,6th Hokage",15
"Lover Rin-Nohara","Healer Shizune",10
"Senju, TobiRama","Healer Shizune",5
"5-Hearts,Kakuzu","Gaara, of the desert",15
Sai'emptiness,"Shukhiyome/The divine tree",15
"Yukimaru,Tails-,3","Sharingan,Sasuke",20
"Who-I-am,Kabuto",Kushina,10
Kushina,"Lady Angel, Konnan",5
Sarutobi/Konohamru,"5-Hearts,Kakuzu",10
"Love, Senju HashiRama",Sarutobi/Asuma,15
"Leaf,Danzo","Healer Shizune",15
Style-Shark/Kisame,"Father of all Shinobi,The Sage of,6,Paths",10
Sarutobi/Asuma,"Shikamaru Nara,IQ",5
"Pretty, INO","Lover Rin-Nohara",10
"Lady Angel, Konnan","Shukhiyome/The divine tree",20
Tenten,"ToadSage/ Master Jiraya",20
"Pretty, INO","Who-I-am,Kabuto",5
"Obito Uchiha,Hokage","Killer Bee,8-Tails",5
Sarutobi/Asuma,"Curse-Mark,Kimmimaro",10
"5-Hearts,Kakuzu","Yukimaru,Tails-,3",20
Sai'emptiness,"Lover, Hinata",15
"Slug Princess/Tsunade",Tenten,20
"Lover, Hinata",Sasori,5
Sarutobi/Konohamru,"Lady Angel, Konnan",5
"Curse-Mark,Kidomaru","Curse-Mark,Anko",10
"Shukhiyome/The divine tree","Father of all Shinobi,The Sage of,6,Paths",10
"Leaf,Danzo","Captain Yamato",15
"Killer Bee,8-Tails","Haku,Land-of-water",15
"Fatso Chozi","Shikamaru Nara,IQ",15
"Pretty, INO","Zetsu Black",15
"Yukimaru,Tails-,3","Healer Shizune",15
"Kurenai Yuhi","Hyuga,Hanabi",20
Sasori,"Curse-Mark,Jirobo",10
"Captain Yamato",Tenten,5
"Obito Uchiha,Hokage",Style-Puppet/Kankuro,15
"Suffering, Itachi-Uchiha","Obito Uchiha,Hokage",5
"Senju, TobiRama",Rinnegan-Madara,20
Rinnegan-Madara,"Yukimaru,Tails-,3",15
"Pretty, INO",Rinnegan-Madara,10
"Haku,Land-of-water","Curse-Mark,Kidomaru",5
"Fatso Chozi","5-Hearts,Kakuzu",15
"Healer Shizune","Shukhiyome/The divine tree",20
"Kakashi ,6th Hokage",Style-Crystal/Guren,15
"Kakashi ,6th Hokage","Lord Pain, Nagato(GOD)",20
"Healer Karin","Yukimaru,Tails-,3",20
"The child of prophecy,Naruto",Style-Crystal/Guren,5
